Data_Type,Year,Month,Calculated_Duties
Customs Value,2017,7,22797684570.00
Customs Value,2024,3,34093045298.00
Customs Value,2008,2,27712226898.00
Customs Value,2011,7,25119674556.00
Customs Value,2004,11,22572352317.00
Customs Value,2018,9,26244046434.00
Customs Value,2013,4,28794327435.00
Customs Value,2005,5,23011819070.00
Customs Value,2010,5,23579760505.00
Customs Value,2002,3,17868793789.00
Customs Value,2008,9,29754876652.00
Customs Value,2019,1,23374506597.00
Customs Value,2021,9,30029265248.00
Customs Value,2005,11,26051037561.00
Customs Value,2002,10,19010288832.00
Customs Value,2009,3,17702994777.00
Customs Value,2021,3,29847283895.00
Customs Value,2021,12,32870618960.00
Customs Value,2010,11,22917503341.00
Customs Value,2016,7,21654118785.00
Customs Value,2022,3,39947533090.00
Customs Value,2022,10,34666264407.00
Customs Value,2007,4,25955657174.00
Customs Value,2020,2,24258737013.00
Customs Value,2004,8,22022992711.00
Customs Value,2009,4,17314868863.00
Customs Value,2022,8,38878639447.00
Customs Value,2014,5,30360702419.00
Customs Value,2010,7,21301125608.00
Customs Value,2017,3,25931788582.00
Customs Value,2016,10,23848568091.00
Customs Value,2024,6,34564270266.00
Customs Value,2023,6,35052928488.00
Customs Value,2002,8,18013404200.00
Customs Value,2018,2,23954206752.00
Customs Value,2006,8,26410796298.00
Customs Value,2024,7,35677732309.00
Customs Value,2008,7,30310885867.00
Customs Value,2017,9,24124375679.00
Customs Value,2016,9,23785120314.00
Customs Value,2009,5,16648750783.00
Customs Value,2023,7,32941591012.00
Customs Value,2005,10,26831468423.00
Customs Value,2020,7,22362713007.00
Customs Value,2024,1,33492536969.00
Customs Value,2009,10,21173189971.00
Customs Value,2008,5,30181620209.00
Customs Value,2009,2,17349526924.00
Customs Value,2020,8,23772768065.00
Customs Value,2011,3,27883907785.00
Customs Value,2006,2,24777819801.00
Customs Value,2010,4,23803582648.00
Customs Value,2017,11,26139512468.00
Customs Value,2019,5,29137928534.00
Customs Value,2004,1,18561743561.00
Customs Value,2022,4,38185403098.00
Customs Value,2005,6,24054881546.00
Customs Value,2012,8,26770542993.00
Customs Value,2014,3,30329988014.00
Customs Value,2001,7,16459472773.00
Customs Value,2018,1,26114501716.00
Customs Value,2006,12,23725892998.00
Customs Value,2022,7,37956516850.00
Customs Value,2013,3,28300200967.00
Customs Value,2019,7,26846098521.00
Customs Value,2013,11,27498701374.00
Customs Value,2022,11,33887813845.00
Customs Value,2024,11,33377166178.00
Customs Value,2024,8,32864063964.00
Customs Value,2015,1,25583477510.00
Customs Value,2007,11,27416136592.00
Customs Value,2024,4,34332659614.00
Customs Value,2018,8,27980940839.00
Customs Value,2011,9,27239436179.00
Customs Value,2020,11,24089075284.00
Customs Value,2019,9,26810531117.00
Customs Value,2017,5,26125113719.00
Customs Value,2012,6,27532781404.00
Customs Value,2009,7,18521447602.00
Customs Value,2012,10,27468395091.00
Customs Value,2014,7,29293106816.00
Customs Value,2014,6,30290165966.00
Customs Value,2009,1,17290424903.00
Customs Value,2015,8,24669653713.00
Customs Value,2005,7,20564417841.00
Customs Value,2007,7,24432330288.00
Customs Value,2015,10,23778614467.00
Customs Value,2004,4,21596755427.00
Customs Value,2014,12,28662591340.00
Customs Value,2023,10,36523525219.00
Customs Value,2021,4,27539010837.00
Customs Value,2012,3,29060715275.00
Customs Value,2014,1,27414849618.00
Customs Value,2011,8,27360699759.00
Customs Value,2003,6,18600111765.00
Customs Value,2019,6,27438313645.00
Customs Value,2002,9,17912543740.00
Customs Value,2024,9,34539365994.00
Customs Value,2010,6,24429722528.00
Customs Value,2006,4,25143558938.00
Customs Value,2007,2,23039618275.00
Customs Value,2017,2,23360303295.00
Customs Value,2001,6,19361592947.00
Customs Value,2011,1,24785172997.00
Customs Value,2009,6,18199961710.00
Customs Value,2008,10,27818077023.00
Customs Value,2025,1,38377304228.00
Customs Value,2004,3,22279086724.00
Customs Value,2021,10,31725273792.00
Customs Value,2008,6,30591606500.00
Customs Value,2018,12,23983964203.00
Customs Value,2021,5,29127154512.00
Customs Value,2022,2,30969691186.00
Customs Value,2023,5,36585849213.00
Customs Value,2018,5,28170090638.00
Customs Value,2022,1,31659178119.00
Customs Value,2003,10,20400882662.00
Customs Value,2003,8,17814905737.00
Customs Value,2003,1,17819842493.00
Customs Value,2012,4,27733325915.00
Customs Value,2018,6,28087535019.00
Customs Value,2019,3,27446859773.00
Customs Value,2003,5,19240669928.00
Customs Value,2006,6,26263870153.00
Customs Value,2002,5,18831393204.00
Customs Value,2011,2,23258725428.00
Customs Value,2016,11,24303170668.00
Customs Value,2001,10,17722598931.00
Customs Value,2012,11,27548492114.00
Customs Value,2023,8,36157810398.00
Customs Value,2012,9,26004012910.00
Customs Value,2025,4,29520331842.00
Customs Value,2003,11,18895449361.00
Customs Value,2021,6,32176712377.00
Customs Value,2024,2,33093097963.00
Customs Value,2009,11,20110242121.00
Customs Value,2006,1,26317046717.00
Customs Value,2013,8,27610853816.00
Customs Value,2016,1,22241528967.00
Customs Value,2006,7,22454150729.00
Customs Value,2020,3,25055283939.00
Customs Value,2016,6,24186663700.00
Customs Value,2018,4,26502815055.00
Customs Value,2024,5,35616745792.00
Customs Value,2020,1,25249409774.00
Customs Value,2022,9,35778671709.00
Customs Value,2003,3,20233874221.00
Customs Value,2016,4,22176735431.00
Customs Value,2019,2,22733903673.00
Customs Value,2023,3,36440866685.00
Customs Value,2011,6,26835290932.00
Customs Value,2007,1,24357454838.00
Customs Value,2002,2,16295211603.00
Customs Value,2003,2,17582615860.00
Customs Value,2013,6,27064199162.00
Customs Value,2006,9,24934270216.00
Customs Value,2011,12,26616712114.00
Customs Value,2023,11,36127318539.00
Customs Value,2007,8,26426706312.00
Customs Value,2014,8,28666819154.00
Customs Value,2010,9,22924147963.00
Customs Value,2007,9,25981127418.00
Customs Value,2022,6,41024262776.00
Customs Value,2014,10,30751012932.00
Customs Value,2004,6,22952489058.00
Customs Value,2017,6,25739380355.00
Customs Value,2021,1,24740088380.00
Customs Value,2016,12,23222134291.00
Customs Value,2019,11,25337597913.00
Customs Value,2005,9,25847721017.00
Customs Value,2003,9,19776750306.00
Customs Value,2017,12,25128785142.00
Customs Value,2020,12,24621993417.00
Customs Value,2020,10,24910887830.00
Customs Value,2003,4,18400549490.00
Customs Value,2018,7,26814632654.00
Customs Value,2004,12,20981019221.00
Customs Value,2017,10,25530845466.00
Customs Value,2020,6,20396681106.00
Customs Value,2010,1,21674661680.00
Customs Value,2015,3,25794326795.00
Customs Value,2012,12,25924375805.00
Customs Value,2010,12,24196307601.00
Customs Value,2012,1,26625120050.00
Customs Value,2023,12,33104312925.00
Customs Value,2008,3,29078729156.00
Customs Value,2016,3,23233522469.00
Customs Value,2003,12,18195379291.00
Customs Value,2002,6,17630398211.00
Customs Value,2013,5,28428922685.00
Customs Value,2013,7,26274880797.00
Customs Value,2001,2,17868333074.00
Customs Value,2023,9,34764394565.00
Customs Value,2014,4,28990979603.00
Customs Value,2022,12,34246364092.00
Customs Value,2018,10,27981301973.00
Customs Value,2002,4,18258889761.00
Customs Value,2005,2,21845762451.00
Customs Value,2021,7,29874759725.00
Customs Value,2020,5,16074148743.00
Customs Value,2025,2,34970965488.00
Customs Value,2003,7,17055073160.00
Customs Value,2005,1,21611029310.00
Customs Value,2001,3,19770282802.00
Customs Value,2018,3,27170768936.00
Customs Value,2017,1,24145982061.00
Customs Value,2025,6,29736629802.00
Customs Value,2011,5,27196448801.00
Customs Value,2005,4,23379263009.00
Customs Value,2017,8,24872979383.00
Customs Value,2014,11,26914533265.00
Customs Value,2015,7,24829792409.00
Customs Value,2007,10,28605225378.00
Customs Value,2010,10,23213755674.00
Customs Value,2011,10,26692259499.00
Customs Value,2012,2,26598611148.00
Customs Value,2013,10,29363223444.00
Customs Value,2009,8,18998159625.00
Customs Value,2005,3,23975845874.00
Customs Value,2001,9,16628890949.00
Customs Value,2021,2,25222939164.00
Customs Value,2015,6,27334261462.00
Customs Value,2013,9,28516353423.00
Customs Value,2004,10,22622495955.00
Customs Value,2005,12,25538457027.00
Customs Value,2023,4,34148398112.00
Customs Value,2006,5,26290113635.00
Customs Value,2024,10,34502527726.00
Customs Value,2021,8,30866521038.00
Customs Value,2006,11,24726769032.00
Customs Value,2016,5,23021209462.00
Customs Value,2019,12,27212742697.00
Customs Value,2001,4,19053810254.00
Customs Value,2019,4,26886792065.00
Customs Value,2008,12,19688164285.00
Customs Value,2007,12,24385504093.00
Customs Value,2020,4,15070390501.00
Customs Value,2023,1,34910621768.00
Customs Value,2010,3,24169202794.00
Customs Value,2004,5,21112289652.00
Customs Value,2016,8,24134407461.00
Customs Value,2002,1,16446201269.00
Customs Value,2004,7,19662178247.00
Customs Value,2022,5,40476629267.00
Customs Value,2011,4,26153192289.00
Customs Value,2015,5,24267582782.00
Customs Value,2008,8,29848579534.00
Customs Value,2025,3,35705166370.00
Customs Value,2006,3,26488827288.00
Customs Value,2025,5,30210371783.00
Customs Value,2001,1,19531777331.00
Customs Value,2017,4,24241112245.00
Customs Value,2015,4,24825507389.00
Customs Value,2015,9,25204634184.00
Customs Value,2009,9,19908630008.00
Customs Value,2001,11,17017397089.00
Total: ,,,"7,570,494,719,389"
